EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
9998577,FLORIDA,1980,May,Tornado,C,HENDRY,0,0,0,0,25K,0,F1
9998578,FLORIDA,1980,May,Tornado,C,HENDRY,0,0,0,0,25K,0,F1
9998579,FLORIDA,1980,May,Thunderstorm Wind,C,OSCEOLA,0,0,0,0,0,0,
9998580,FLORIDA,1980,May,Hail,C,BAKER,0,0,0,0,0,0,
9998581,FLORIDA,1980,May,Tornado,C,CHARLOTTE,0,0,0,0,2.5M,0,F1
9998582,FLORIDA,1980,May,Tornado,C,LEE,0,0,0,0,250K,0,F1
9998583,FLORIDA,1980,May,Thunderstorm Wind,C,,0,0,0,0,0,0,
9998585,FLORIDA,1980,June,Tornado,C,MIAMI-DADE,0,0,0,0,25K,0,F0
9998586,FLORIDA,1980,June,Tornado,C,ESCAMBIA,0,0,0,0,2.5K,0,F0
9998587,FLORIDA,1980,June,Tornado,C,OKALOOSA,0,0,0,0,25K,0,F0
9998588,FLORIDA,1980,June,Thunderstorm Wind,C,SANTA ROSA,0,0,0,0,0,0,
10089963,NORTH CAROLINA,1980,April,Hail,C,RICHMOND,0,0,0,0,0,0,
10084840,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,DUNN,0,0,0,0,0,0,
10084842,NORTH DAKOTA,1980,June,Hail,C,DUNN,0,0,0,0,0,0,
10084843,NORTH DAKOTA,1980,June,Hail,C,GRANT,0,0,0,0,0,0,
10084844,NORTH DAKOTA,1980,June,Hail,C,GRANT,0,0,0,0,0,0,
10084845,NORTH DAKOTA,1980,June,Hail,C,STARK,0,0,0,0,0,0,
10084846,NORTH DAKOTA,1980,June,Hail,C,MORTON,0,0,0,0,0,0,
10084847,NORTH DAKOTA,1980,June,Hail,C,OLIVER,0,0,0,0,0,0,
10084848,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,MCLEAN,0,0,0,0,0,0,
10084849,NORTH DAKOTA,1980,June,Hail,C,MCLEAN,0,0,0,0,0,0,
10084850,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,KIDDER,0,0,0,0,0,0,
10084851,NORTH DAKOTA,1980,June,Tornado,C,RENVILLE,0,0,0,0,0K,0,F0
10084852,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,RICHLAND,0,0,0,0,0,0,
10084853,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,RICHLAND,0,0,0,0,0,0,
10084854,NORTH DAKOTA,1980,June,Thunderstorm Wind,C,RICHLAND,0,0,0,0,0,0,
10097767,OHIO,1980,May,Thunderstorm Wind,C,WOOD,0,0,0,0,0,0,
10097768,OHIO,1980,May,Thunderstorm Wind,C,MERCER,0,0,0,0,0,0,
10097769,OHIO,1980,May,Thunderstorm Wind,C,LUCAS,0,0,0,0,0,0,
10097838,OHIO,1980,August,Hail,C,JEFFERSON,0,0,0,0,0,0,
10097839,OHIO,1980,August,Hail,C,HARRISON,0,0,0,0,0,0,
10020386,KANSAS,1980,October,Tornado,C,ELLIS,0,0,0,0,250K,0,F0
10020387,KANSAS,1980,October,Hail,C,OSBORNE,0,0,0,0,0,0,
10096694,OHIO,1980,July,Thunderstorm Wind,C,STARK,0,0,0,0,0,0,
10096695,OHIO,1980,July,Hail,C,COSHOCTON,0,0,0,0,0,0,
10096696,OHIO,1980,July,Thunderstorm Wind,C,COSHOCTON,0,0,0,0,0,0,
10096697,OHIO,1980,July,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
10096698,OHIO,1980,July,Hail,C,ALLEN,0,0,0,0,0,0,
10096699,OHIO,1980,July,Hail,C,LOGAN,0,0,0,0,0,0,
10096700,OHIO,1980,July,Thunderstorm Wind,C,LOGAN,0,0,0,0,0,0,
10096701,OHIO,1980,July,Hail,C,CHAMPAIGN,0,0,0,0,0,0,
10096702,OHIO,1980,July,Thunderstorm Wind,C,CHAMPAIGN,0,0,0,0,0,0,
10096704,OHIO,1980,July,Thunderstorm Wind,C,MADISON,0,0,0,0,0,0,
10096705,OHIO,1980,July,Hail,C,FRANKLIN,0,0,0,0,0,0,
10096706,OHIO,1980,July,Tornado,C,PICKAWAY,0,0,0,0,250K,0,F1
10096707,OHIO,1980,July,Hail,C,WYANDOT,0,0,0,0,0,0,
10096708,OHIO,1980,July,Thunderstorm Wind,C,FAYETTE,0,0,0,0,0,0,
10096709,OHIO,1980,July,Tornado,C,LAWRENCE,0,0,0,0,25K,0,F1
10096710,OHIO,1980,July,Hail,C,MORROW,0,0,0,0,0,0,
10096711,OHIO,1980,July,Hail,C,CRAWFORD,0,0,0,0,0,0,
10096712,OHIO,1980,July,Hail,C,MARION,0,0,0,0,0,0,
10096713,OHIO,1980,July,Hail,C,DEFIANCE,0,0,0,0,0,0,
10096714,OHIO,1980,July,Hail,C,PAULDING,0,0,0,0,0,0,
10096715,OHIO,1980,July,Hail,C,JACKSON,0,0,0,0,0,0,
10096716,OHIO,1980,July,Hail,C,GALLIA,0,0,0,0,0,0,
10096717,OHIO,1980,July,Thunderstorm Wind,C,LAWRENCE,0,0,0,0,0,0,
10096718,OHIO,1980,July,Thunderstorm Wind,C,SCIOTO,0,0,0,0,0,0,
10096719,OHIO,1980,July,Thunderstorm Wind,C,VINTON,0,0,0,0,0,0,
10096723,OHIO,1980,July,Hail,C,CRAWFORD,0,0,0,0,0,0,
10096720,OHIO,1980,July,Hail,C,AUGLAIZE,0,0,0,0,0,0,
10096721,OHIO,1980,July,Hail,C,ALLEN,0,0,0,0,0,0,
10096722,OHIO,1980,July,Hail,C,AUGLAIZE,0,0,0,0,0,0,
10124750,SOUTH DAKOTA,1980,June,Hail,C,GREGORY,0,0,0,0,0,0,
10124751,SOUTH DAKOTA,1980,June,Tornado,C,AURORA,0,0,0,0,0K,0,F0
10124752,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,BEADLE,0,0,0,0,0,0,
10124753,SOUTH DAKOTA,1980,June,Tornado,C,DOUGLAS,0,0,0,0,0K,0,F0
10124754,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,TURNER,0,0,0,0,0,0,
10124755,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,TURNER,0,0,0,0,0,0,
10124756,SOUTH DAKOTA,1980,June,Thunderstorm Wind,C,CLAY,0,0,0,0,0,0,
10124757,SOUTH DAKOTA,1980,June,Hail,C,MEADE,0,0,0,0,0,0,
10124758,SOUTH DAKOTA,1980,June,Tornado,C,DAY,0,0,0,0,0K,0,F0
10124759,SOUTH DAKOTA,1980,June,Hail,C,BUTTE,0,0,0,0,0,0,
10124760,SOUTH DAKOTA,1980,June,Hail,C,BUTTE,0,0,0,0,0,0,
